pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,1e-10,1.67331963855214e-8,NA,0.7115085316275822,2.9606514114669213,127,"RPL23A, RPS20, RPL13, UBA52, RPL22L1, RPL39, RPSA, RPS8, RPL27A, RPL26, RPL21, RPL37A, RPS21, RPLP1, RPS28, RPL38, RPL11, RPS24, MRPS21, RPS9, RPL15, RPS11, RPS5, MRPL47, RPS19, RPS23, MRPS24, RPL4, RPL18A, RPS27A, MRPS15, RPS17, MRPL21, RPL8, RPL35, MRPL49, RPS3A, RPS7, RPL13A, RPL29, RPL23, MRPL18, MRPL3, RPS18, MRPL30, MRPS34, RPS12, MRPL14, MRPS7, RPL10A, RPL18, RPL24, RPL3, MRPL23, RPL36, MRPL41, MRPL9, NDUFA7, RPS15A, MRPS25, RPLP2, RPS14, MRPL43, MRPS30, MRPS14, MRPL28, RPL28, DAP3, MRPL4"
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1e-10,1.67331963855214e-8,NA,0.7483799981424019,2.846616780207592,74,"RPL23A, RPS20, RPL13, UBA52, RPL39, RPSA, RPS8, RPL27A, RPL26, RPL21, RPL37A, RPS21, RPLP1, RPS28, RPL38, RPL11, RPS24, RPS9, RPL15, RPS11, RPS5, RPS19, RPS23, RPL4, RPL18A, RPS27A, RPS17, RPL8, RPL35, RPS3A, RPS7, RPL13A, RPL29, RPL23, RPS18, RPS12, RPL10A, RPL18, RPL24, RPL3, RPL36, RPS15A, RPLP2, RPS14, SEC61B"
GO_CYTOSOLIC_RIBOSOME,1e-10,1.67331963855214e-8,NA,0.724644633399929,2.7788790953705873,77,"RPL23A, RPS20, RPL13, UBA52, RPL39, RPSA, RPS8, RPL27A, RPL26, RPL21, RPL37A, RPS21, RPLP1, RPS28, RPL38, RPL11, RPS24, RPS9, RPL15, RPS11, RPS5, RACK1, RPS19, RPS23, RPL4, RPL18A, RPS27A, RPS17, RPL8, RPL35, RPS3A, RPS7, RPL13A, RPL29, RPL23, RPS18, RPS12, RPL10A, RPL18, RPL24, RPL3, RPL36, RPS15A, RPLP2, RPS14"
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,1e-10,1.67331963855214e-8,NA,0.7089191412093964,2.7562298580519853,86,"RPL23A, RPS20, RPL13, UBA52, RPL39, RPSA, RPS8, RPL27A, RPL26, RPL21, RPL37A, RPS21, SPCS3, RPLP1, RPS28, RPL38, RPL11, RPS24, RPS9, RPL15, RPS11, RPS5, RPS19, RPS23, RPL4, RPL18A, RPS27A, RPS17, RPL8, RPL35, RPS3A, RPS7, RPL13A, RPL29, SGTA, RPL23, RPS18, RPS12, RPL10A, RPL18, RPL24, RPL3, RPL36, CHMP4B, RPS15A, RPLP2, RPS14, SEC61B, PMM1"
GO_RIBOSOMAL_SUBUNIT,1e-10,1.67331963855214e-8,NA,0.6400441686526431,2.7380650428413342,154,"RPL23A, RPS20, RPL13, UBA52, RPL39, RPSA, RPS8, RPL27A, RPL26, RPL21, RPL37A, RPS21, RPLP1, RPS28, RPL38, RPL11, RPS24, MRPS21, RPS9, RPL15, RPS11, RPS5, RACK1, MRPL47, RPS19, RPS23, MRPS24, RPL4, RPL18A, RPS27A, MRPS15, RPS17, MRPL21, RPL8, RPL35, MRPL49, RPS3A, RPS7, RPL13A, RPL29, RPL23, MRPL18, MRPL3, RPS18, MRPL30, MRPS34, RPS12, MRPL14, MRPS7, RPL10A, RPL18, MALSU1, RPL24, RPL3, MRPL23, RPL36, MRPL41, MRPL9, RPS15A, RPLP2, RPS14, MRPL43, MRPL38, MRPS30, MRPS14, MRPL28, RPL28, DAP3, MRPS26, MRPL40, MRPL4"
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,1e-10,1.67331963855214e-8,NA,0.805708055509974,2.687078231232047,38,"RPL23A, RPL13, UBA52, RPL39, RPL27A, RPL26, RPL21, RPL37A, RPLP1, RPL38, RPL11, RPL15, RPL4, RPL18A, RPL8, RPL35, RPL13A, RPL29, RPL23, RPL10A, RPL18, RPL24, RPL3, RPL36, RPLP2"
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,1e-10,1.67331963855214e-8,NA,0.6653319880170545,2.618868060369253,92,"RPL23A, RPS20, RPL13, UBA52, RPL39, RPSA, RPS8, RPL27A, RPL26, RPL21, RPL37A, RPS21, RPLP1, RPS28, RPL38, RPL11, RPS24, RPS9, RPL15, RPS11, RPS5, RPS19, RPS23, RPL4, RPL18A, RPS27A, RPS17, RPL8, RPL35, RPS3A, RPS7, RPL13A, RPL29, RPL23, RPS18, RPS12, RPL10A, RPL18, RPL24, RPL3, RPL36, RBM8A, RPS15A, RPLP2, RPS14"
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,1e-10,1.67331963855214e-8,NA,0.6236357188237753,2.599087679414905,128,"MT-ATP8, MT-ND2, MT-CO1, MT-ND1, MT-ND4, MT-CYB, MT-ATP6, MT-ND5, COX6A1, NDUFA4, NDUFA13, NDUFS4, UQCRH, UQCRHL, TIMM17A, NDUFB5, NDUFB3, ATP5MF, COX7C, CHCHD3, ATP5F1D, PHB2, ATP5ME, COX4I1, COX6A2, NDUFA2, ATP5MPL, NDUFA1, NDUFV3, NDUFB6, TIMM10, NDUFB2, NDUFA7, NDUFS8, PHB, UQCC3, NDUFV1, SMDT1, NDUFB10, NDUFA12, COX5A, AGK, TIMM22, ATP5MC3, MICU1, NDUFS3, TIMM29, DMAC1, UQCRQ, NDUFA5, ATP5F1A, UQCRFS1, NDUFB9, NDUFA10, MCU, DNAJC11, NDUFS2, DMAC2, SDHA, ATP5MG, ATP5MGL, NDUFA3, UQCRB, ROMO1, ATP5PO, ATP5F1B, DNAJC15, NDUFA11, UQCRC1, NDUFA8, NDUFS7, PPIF, MICU3, SDHB, ATP5PD, NDUFB8, MT-ND4L, ATP5F1C, IMMP2L, BCS1L, ATP5PF, NDUFC1, ATP5F1E, NDUFB11, GRPEL1, IMMP1L, MICU2"
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,1e-10,1.67331963855214e-8,NA,0.6253172649961402,2.5594144705759927,113,"RPL23A, RPS20, RPL13, UBA52, RPL39, RPSA, RPS8, RPL27A, RPL26, RPL21, RPL37A, RPS21, SPCS3, RPLP1, RPS28, RPL38, RPL11, RPS24, RPS9, RPL15, RPS11, RPS5, RPS19, RPS23, RPL4, RPL18A, RPS27A, RPS17, RPL8, RPL35, RPS3A, RPS7, RPL13A, RPL29, SGTA, RPL23, PPP1R15A, RPS18, GJA1, RPS12, RPL10A, RPL18, RPL24, RPL3, RPL36, CHMP4B, ANKRD13C, RPS15A, RPLP2, RPS14, SEC61B, PMM1, VAPA, RPL28, SEC62, SEC16B, TRAM1, RER1, GABARAPL2"
GO_LARGE_RIBOSOMAL_SUBUNIT,1e-10,1.67331963855214e-8,NA,0.6443180777651165,2.5510851883683285,96,"RPL23A, RPL13, UBA52, RPL39, RPL27A, RPL26, RPL21, RPL37A, RPLP1, RPL38, RPL11, RPL15, MRPL47, RPL4, RPL18A, MRPL21, RPL8, RPL35, MRPL49, RPL13A, RPL29, RPL23, MRPL18, MRPL3, MRPL30, MRPL14, RPL10A, RPL18, MALSU1, RPL24, RPL3, MRPL23, RPL36, MRPL41, MRPL9, RPLP2, MRPL43, MRPL38, MRPS30, MRPL28, RPL28, MRPL40, MRPL4"
