pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,1e-10,3.14e-8,NA,0.7535891808844031,3.105376093044384,127,"RPL22L1, RPL13, MRPL21, MRPL47, RPS24, RPL27A, RPS17, MRPL13, RPL26, RPL21, RPL13A, RPL23A, RPS15A, RPS8, RPS11, RPS27A, MRPL11, RPS21, MRPS34, RPS18, RPSA, RPL37A, RPS20, RPL3, RPS9, RPL4, RPL8, RPL15, MRPL43, RPL39, RPS14, RPL18A, MRPL51, RPL11, RPL35, RPS23, MRPL41, RPL38, RPL36, RPS3A, UBA52, MRPL57, MRPL34, RPLP1, RPS28, RPL23, RPS7, RPS12, RPS5, RPLP2, MRPL28, RPS16, MRPL18, MRPL14, MRPL9, MRPS23, RPL18, MRPL22, RPL24, SRBD1, RPS19, MRPS21, MRPS15, MRPS30, MRPS16, MRPL27, MRPL17, NDUFA7, MRPS24, MRPL42, RSL24D1, MRPS14, MRPL30, MRPS6, MRPS35, MRPL10, RPL29, MRPL32, MRPL15, RPL14, MRPL49, MRPS12, MRPL33, MRPS11, RPL28, MRPL16, MRPS2, MRPS36, MRPL23, RPL27, MRPL3, MRPS18C"
GO_RIBOSOMAL_SUBUNIT,1e-10,3.14e-8,NA,0.7186205517434525,3.0406593415855365,154,"RPL13, MRPL21, MRPL47, MPV17L2, RPS24, RPL27A, RPS17, MRPL13, RPL26, RPL21, RPL13A, RPL23A, RPS15A, RPS8, MRPS10, RPS11, RPS27A, MRPL11, RPS21, MRPS34, RPS18, RPSA, RPL37A, RPS20, RPL3, RPS9, RPL4, RPL8, RPL15, MRPL43, MALSU1, RPL39, RPS14, RPL18A, MRPL51, RPL11, RPL35, RPS23, MRPL41, RPL38, RPL36, RPS3A, UBA52, MRPL57, MRPL34, RPLP1, RPS28, RPL23, RPS7, RPS12, RPS5, RPLP2, MRPL28, RPS16, MRPL18, MRPL14, MRPL9, RPL18, MRPL22, RPL24, NSUN3, RPS19, MRPS21, NDUFAB1, MRPS15, MRPS30, MRPS16, MRPL27, MRPL17, MRPS24, MRPL42, RSL24D1, MRPL40, MRPS14, MRPL30, MRPS6, MRPS35, MRPL10, RPL29, MRPL32, MRPL15, RPL14, HBA1, HBA2, MRPS28, MRPL49, MRPS12, MRPL33, RACK1, MRPS11, RPL28, MRPL16, MRPS2, MRPS36, MRPL23, RPL27, MRPL3, MRPS18C, RPL6, MRPS26, MRPS22, MRPL36, MRPL52, EIF2A, MRPL35"
GO_CYTOSOLIC_RIBOSOME,1e-10,3.14e-8,NA,0.7790555499363817,2.954193445152558,77,"RPL13, RPS24, RPL27A, RPS17, RPL26, RPL21, RPL13A, RPL23A, RPS15A, RPS8, RPS11, RPS27A, RPS21, RPS18, RPSA, RPL37A, RPS20, RPL3, RPS9, RPL4, RPL8, RPL15, RPL39, RPS14, RPL18A, RPL11, RPL35, RPS23, RPL38, RPL36, RPS3A, UBA52, RPLP1, RPS28, RPL23, RPS7, RPS12, RPS5, RPLP2, RPS16, RPL18, RPL24, RPS19, RSL24D1, RPL29, PPARGC1A, RPL14, HBA1, HBA2, RACK1, MRPS11"
GO_RIBOSOME,1e-10,3.14e-8,NA,0.6695598724626117,2.918223107545265,193,"RPL22L1, RPL13, MRPL21, MRPL47, MPV17L2, RPS24, RPL27A, RPS17, MRPL13, RPL26, RPL21, RPL13A, RPL23A, RPS15A, RPS8, MRPS10, RPS11, RPS27A, MRPL11, RPS21, MRPS34, RPS18, RPSA, EIF3H, CHCHD1, RPL37A, RPS20, RPL3, RPS9, RPL4, NCK1, RPL8, RPL15, MRPL43, MALSU1, RPL39, RPS14, RPL18A, MRPL51, RPL11, RPL35, RPS23, MRPL41, RPL38, RPL36, RPS3A, UBA52, MRPL57, MRPL34, RPLP1, RPS28, RPL23, RPS7, AURKAIP1, RPS12, RPS5, RPLP2, MRPL28, BTF3, RPS16, GADD45GIP1, MRPL18, MRPL14, MRPL9, MRPS23, RPL18, MRPL22, RPL24, NSUN3, RPS19, MRPS21, NDUFAB1, MRPS15, MRPS30, MRPS16, MRPL27, EEF2, MRPL17, NDUFA7, MRPS24, MRPL42, MT3, RSL24D1, MRPL40, MRPS14, MRPL30, APEX1, MRPS6, MRPS35, MRPL10, RPL29, MRPL32, MRPL15, PPARGC1A, RPL14, HBA1, HBA2, MRPS28, MRPL49, MRPS12, MRPL33, RACK1, MRPS11, RPL28, MRPL16, MRPS2, MRPS36, MRPL23, RPL27, MRPL3, MRPS18C, CANX, RPL6, SERP1, MRPS26, MRPS22"
GO_LARGE_RIBOSOMAL_SUBUNIT,1e-10,3.14e-8,NA,0.7145657709304201,2.8036806028675256,96,"RPL13, MRPL21, MRPL47, MPV17L2, RPL27A, MRPL13, RPL26, RPL21, RPL13A, RPL23A, MRPL11, RPL37A, RPL3, RPL4, RPL8, RPL15, MRPL43, MALSU1, RPL39, RPL18A, MRPL51, RPL11, RPL35, MRPL41, RPL38, RPL36, UBA52, MRPL57, MRPL34, RPLP1, RPL23, RPLP2, MRPL28, MRPL18, MRPL14, MRPL9, RPL18, MRPL22, RPL24, NSUN3, NDUFAB1, MRPS30, MRPL27, MRPL17, MRPL42, RSL24D1, MRPL40, MRPL30, MRPL10, RPL29, MRPL32, MRPL15, RPL14, MRPL49, MRPL33, RPL28, MRPL16, MRPL23, RPL27, MRPL3"
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,1e-10,3.14e-8,NA,0.6756485913496246,2.790900319040288,128,"NDUFB5, UQCRH, UQCRHL, COX7C, NDUFS4, NDUFA1, NDUFA2, TIMM22, ATP5PD, NDUFS8, NDUFB8, NDUFA12, NDUFA5, UQCC3, NDUFS5, TIMM17A, ATP5ME, ATP5F1C, SDHD, COX4I1, ATP5F1E, NDUFB2, COX5A, NDUFS6, IMMP2L, NDUFB6, UQCRB, SMDT1, UQCR10, NDUFA13, NDUFB10, NDUFB3, ATP5MF, NDUFA11, DNAJC15, TIMM10, COX6A2, NDUFB9, SDHB, NDUFA4, DMAC1, ATP5PO, NDUFB7, UQCRFS1, NDUFAB1, NDUFA6, ATP5PF, PAM16, UQCRQ, NDUFA7, ATP5MG, ATP5MGL, NDUFA8, PHB, CHCHD6, TIMM23, TIMM23B, MICU3, GRPEL1, NDUFV3, ATP5MPL, CHCHD3, NDUFS7, ATP5MC3, ATP5F1B, ATP5F1D, NDUFS3, UQCRC2, NDUFC1, ROMO1, NDUFB11, CYC1, NDUFV2, NDUFC2, NDUFC2-KCTD14, NDUFS2, APOO, TIMM21, COX6A1, SDHAF4, TIMM17B, NDUFA10, CHCHD10, PHB2, NDUFV1"
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1e-10,3.14e-8,NA,0.7333506636609047,2.7669907270959913,74,"RPL13, RPS24, RPL27A, RPS17, RPL26, RPL21, RPL13A, RPL23A, RPS15A, RPS8, RPS11, RPS27A, RPS21, RPS18, RPSA, RPL37A, RPS20, RPL3, RPS9, RPL4, RPL8, RPL15, RPL39, RPS14, RPL18A, RPL11, RPL35, RPS23, RPL38, RPL36, RPS3A, UBA52, RPLP1, RPS28, RPL23, RPS7, RPS12, RPS5, RPLP2, RPS16, RPL18, RPL24, SEC62, RPS19, SEC61B, SRP9, TRAM1L1, RPL29, RPL14, SSR3, RPL28, SSR2, RPL27, TRAM1, RPL6, SRP14"
GO_MITOCHONDRIAL_PROTEIN_COMPLEX,1e-10,3.14e-8,NA,0.6018323518660115,2.6921806966381916,253,"MRPL21, NDUFB5, MRPL47, MPV17L2, UQCRH, UQCRHL, MRPL13, COX7C, NDUFS4, NDUFA1, MRPS10, NDUFA2, MRPL11, MRPS34, HSD17B10, TIMM22, ATP5PD, NDUFS8, NDUFB8, MRPL43, NDUFA12, NDUFA5, TOMM40L, MALSU1, TIMM13, UQCC3, NDUFS5, TIMM17A, ATP5ME, TIMM8B, ATP5F1C, SDHD, COX4I1, ATP5F1E, NDUFB2, MRPL51, TOMM20, COX5A, MRPL41, MRPL57, NDUFS6, IMMP2L, MRPL34, NDUFB6, UQCRB, SMDT1, UQCR10, NDUFA13, NDUFB10, MRPL28, NDUFB3, ATP5MF, MRPL18, NDUFA11, DNAJC15, MRPL14, MRPL9, TIMM10, COX6A2, TOMM7, NDUFB9, SDHB, MRPL22, NDUFA4, DMAC1, ATP5PO, NDUFB7, NSUN3, MRPS21, UQCRFS1, NDUFAB1, MRPS15, MRPS30, NDUFA6, MRPS16, ATP5PF, MRPL27, PAM16, UQCRQ, MRPL17, NDUFA7, MRPS24, MRPL42, ATP5MG, ATP5MGL, MRPL40, MRPS14, MRPL30, NDUFA8, PHB, MRPS6, CHCHD6, MRPS35, TOMM6, MRPL10, TIMM23, TIMM23B, MICU3, MRPL32, GRPEL1, MRPL15, BCKDHB, NDUFV3, ATP5MPL, MRPS28, CHCHD3, MRPL49, NDUFS7, MRPS12, ATP5MC3, ATP5F1B, ATP5F1D, NDUFS3, MRPL33, UQCRC2, NDUFC1, SUCLG2, MRPS11, ROMO1, MRPL16, NDUFB11, CYC1, MRPS2, MRPS36, NDUFV2, NDUFC2, NDUFC2-KCTD14, NDUFS2, APOO, TIMM21, MRPL23, MRPL3, COX6A1, MRPS18C, SDHAF4, MTX2, MTX1, MRPS26, TIMM17B, MRPS22, NDUFA10, TOMM22, CHCHD10, MRPL36, PHB2, MRPL52, NDUFV1, MRPL35, UQCRC1, PDHA1, MRPS31, MRPL12, MRPL54, ATP5F1A, BCKDHA, IMMP1L, NDUFA9"
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,1e-10,3.14e-8,NA,0.6947849768659581,2.682961366986768,86,"RPL13, SPCS3, RPS24, RPL27A, RPS17, RPL26, RPL21, RPL13A, RPL23A, RPS15A, RPS8, RPS11, RPS27A, RPS21, RPS18, RPSA, RPL37A, RPS20, RPL3, RPS9, RPL4, RPL8, RPL15, RPL39, RPS14, RPL18A, RPL11, RPL35, RPS23, RPL38, RPL36, RPS3A, UBA52, RPLP1, RPS28, RPL23, RPS7, RPS12, RPS5, RPLP2, RPS16, RPL18, RPL24, SPCS1, SEC62, RPS19, SEC61B, SRP9, TRAM1L1, SPCS2, RPL29, RPL14"
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,1e-10,3.14e-8,NA,0.6589471626592572,2.682117942817063,113,"GJA1, RPL13, SPCS3, RPS24, RPL27A, RPS17, RPL26, RPL21, RPL13A, RPL23A, RPS15A, RPS8, RPS11, RPS27A, GABARAPL2, RPS21, RPS18, RPSA, RPL37A, RPS20, RPL3, RPS9, RPL4, RPL8, RPL15, RPL39, RPS14, RPL18A, RPL11, RPL35, RPS23, RPL38, RPL36, RPS3A, UBA52, RPLP1, RPS28, RPL23, RPS7, RPS12, RPS5, RPLP2, RPS16, RTN4, RPL18, RER1, RPL24, SPCS1, SEC62, RPS19, SEC61B, VAPA, SRP9, TRAM1L1, SPCS2, RPL29, RPL14, BCAP31, BCAP29, CHMP4B, SSR3, RPL28, INSIG2, RPL27, TRAM1, RPL6, SRP14, KDELR2"
