pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO_NEURON_PROJECTION,1e-10,1.84275e-7,NA,-0.37500370038784925,-1.7955788122859109,1164,"HSP90AB1, WASF1, SNAP47, MAP1B, ACTB, HSP90AA1, UBXN1, SPTBN1, CDK5R1, OLFM1, SYT4, BSG, MT-ND1, CKB, BRINP3, ELOVL5, CALM3, GPM6A, NEURL1, SHANK1, INPP5K, GPHN, ASIC2, VPS35, SCN2A, CAMK2A, ATP1A3, NCAM2, KIF5A, MAP1A, ROR1, GRIN2A, GNAO1, CLSTN1, ADGRL1, LMTK2, MOB4, SYT11, PTPRN, ATP1A2, BACE1, SH3GL2, NRSN1, NRGN, IGF1R, GABBR1, MT3, ABAT, STX1A, NSG2, DLG4, NCAM1, PLCB4, GAP43, CAMK2G, GRM7, PALM, COBL, DAGLA, LAMP1, SYAP1, SLC17A7, LRP4, MARK3, KCNQ3, APBA2, SAV1, KLC1, DLG3, FXR1, CTNND2, BCL11B, PSEN1, DNER, DAB1, DAB2IP, APBB1, RAB5A, PPP1R9B, PTK2, NTRK2, HOMER1, ACTN4, MT-ND5, CNTN3, STRN4, CNIH3, SRI, CLSTN2, NGDN, DSCAML1, STX1B, KIF1B, PPP5C, NIN, MAPK8IP3, TMOD2, CPEB4, C16orf70, ERO1A, STMN1, DST, GNG3, INSR, TUBB3, RAC1, RPGR, SAG, AP3M1, ATP6AP2, NCDN, SUMO1, ZFYVE27, NLGN1, NCS1, IQCJ-SCHIP1, TRAK2, HOMER2, UFL1, ITGA2, PCLO, CYFIP2, SYP, MAPT, MYO7A, ATP13A2, SCN8A, ACTR10, NEXN, FAM126A, RAB3A, BLOC1S2, SLC1A3, ADCY8, HCFC1, DCTN2, FZD3, CRTAC1, ATP2B4, GOT1, SLC1A2, CCK, PENK, NDEL1, SYNJ2BP, TIAM2, CNKSR2, DNM1, FYN, EEF2K, GNA11, MAGI2, GNB1, CNTNAP2, GNAS, SYT7, DYNC1H1, SCN1A, NCOA1, EXOC6, ARG1, NMNAT2, MAP2, CDH23, CDKL5, SPOCK1, ARHGAP32, RUFY3, EEA1, FEZ1, BAALC, ADGRL3, AKAP5, AGBL4, ABI2, VIP, NSG1, SYNPO, DOCK7, CHRM3, PRSS12, TSC1, SLC38A7, EPB41L3, TTLL7, CHRM1, CRTC1, MAPK10, EXOC7, DMD, MINK1, RPH3A, GDPD5, PPP1CC, LSM4, CPEB2, GABBR2, RIT2, PHLPP2, SLC6A6, FLOT2, PPT1, IGHMBP2, ATL1, HEPACAM, DHX36, FEZ2, PLXDC1, CPNE5, SNCB, WDFY3, DHRS3, WDR19, KIF3A, RASGRF1, PPP2R1A, KIF1A, MLPH, PI4K2A, ULK1, CAMK2N1, PSEN2, GABRG2, SRCIN1, LRRC4, TENM4, ADA, SNPH, TENM2, AP3D1, OPRM1, PRNP, AKAP9, PIAS3, UNC13A, BAG3, PIN1, MAP9, MARK1, CASC3, SYNDIG1, ROBO2, GRIN2B, ERC2, CNIH2, CTNNA2, PTPRN2, PRKACA, GRM3, SHANK3, ADAM10, TRIM9, PTGS1, CYTH2, PCSK2, AAK1, APOD, CALB2, PAK1, BBS7, RPS6KB1, ARF4, DCC, HTR1F, UNC13C, SIAH2, ZWINT, KLHL20, CAMKK2, PCDH15, PPP3CA, MYO5A, PQBP1, GNAI2, NFASC, MAP7, ATP2B1, CNN3, NEDD4, AP3S1, MBP, ANKS1A, CLSTN3, RNF40, CACNA1H, SIGMAR1, RPGRIP1L, USH2A, MARK4, ACADM, KIF20B, HTR2B, PSD, WFS1, MAPK8IP1, SLC6A1, KCNA1, ELFN1, PTPRF, FARP1, MAP2K4, STXBP1, BMPR2, GRM1, DSCAM, TRPV4, PTCH1, DICER1, ADGRB1, LZTS1, CX3CL1, SORT1, TRIM3, DBN1, NDRG2, SSH1, CACNA1C, ZNF804A, TPGS1, CTNND1, LAMP5, EXOC3, SHISA9, ACTG1, APBB2, GRIA2, FRMPD4, GRIK3, MOB2, KPTN, HCN3, VCAN, NRG1, SLC1A1, SPTBN4, ARL8A, GRM2, CACNG2, RPL28, PALMD, CACNA1B, ALS2, PSMC2, SYT2, PPP1CA, EPHA4, LCA5, CLU, ADORA1, SLC2A13, LRP2, RBM8A, CADM2, FAM107A, PAM, GNG13, RGS2, SORCS2, PPP1R9A, BRINP1, CBARP, NOS1, ACAD9, RASGRP2, SLC38A2, SLC4A10, CTTNBP2, PRKCB, TRAPPC4, ITGA1, BCR, OPRD1"
GO_CELL_BODY,1e-10,1.84275e-7,NA,-0.39990269405549733,-1.8190504569563306,531,"HSP90AB1, SNAP47, MAP1B, HSP90AA1, UBXN1, CDK5R1, OLFM1, SYT4, MT-ND1, CKB, BRINP3, ELOVL5, GPM6A, NEURL1, CCT4, ASIC2, VPS35, ATP1A3, KIF5A, MAP1A, SLC31A1, GNAO1, VTI1B, SLC25A27, LMTK2, MOB4, SYT11, PTPRN, ATP1A2, BACE1, EEF1A2, SH3GL2, NRSN1, NRGN, RDH5, NRXN1, GAP43, COBL, LAMP1, SYAP1, PDE10A, ACSL4, LRP4, TUBB, EPO, DLG3, FXR1, CTNND2, PSEN1, DNER, DAB1, FABP7, DAB2IP, APBB1, RAB5A, PPP1R9B, POLR2M, CASP3, PPP5C, MAPK8IP3, GNG3, INSR, ATP6AP2, NCDN, TRAK2, HOMER2, ENO2, SEZ6L, MAPT, ATP13A2, GOT2, SLC24A1, SLC1A3, ADCY8, HCFC1, FZD3, SLC1A2, CCT7, CCK, PENK, NDEL1, TIAM2, CNKSR2, FYN, GNB1, CNTNAP2, SYT7, PITPNM2, SCN1A, ARG1, MAP2, PHAX, RUFY3, CCT2, FEZ1, VIP, SYNPO, SLC38A7, TTLL7, CRTC1, MAPK10, RNF157, GDPD5, PITPNM1, RIT2, SLC6A6, ERCC8, PPT1, PYCARD, DHX36, PLXDC1, CPNE5, SNCB, WDFY3, KIF1A, PI4K2A, CAMK2N1, PSEN2, ATP1B2, SRCIN1, ADA, SNPH, MAGOHB, OPRM1, TRPM4, AKAP9"
GO_SOMATODENDRITIC_COMPARTMENT,1e-10,1.84275e-7,NA,-0.39675196307621974,-1.8483707241981246,763,"HSP90AB1, WASF1, SNAP47, MAP1B, HSP90AA1, UBXN1, CDK5R1, OLFM1, SYT4, MT-ND1, CKB, BRINP3, ELOVL5, GPM6A, NEURL1, SHANK1, GPHN, ASIC2, VPS35, CAMK2A, ATP1A3, KIF5A, MAP1A, SLC31A1, GRIN2A, GNAO1, CLSTN1, VTI1B, SLC25A27, LMTK2, MOB4, SYT11, PTPRN, ATP1A2, BACE1, EEF1A2, SH3GL2, NRSN1, NRGN, GABBR1, MT3, NRXN1, NSG2, DLG4, PLCB4, GAP43, GRM7, COBL, LAMP1, SYAP1, PDE10A, ACSL4, LRP4, MARK3, APBA2, SAV1, DLG3, FXR1, CTNND2, PSEN1, DNER, DAB1, FABP7, DAB2IP, APBB1, RAB5A, PPP1R9B, PTK2, NTRK2, HOMER1, STRN4, CNIH3, POLR2M, SRI, CLSTN2, NGDN, CASP3, KIF1B, PPP5C, NIN, MAPK8IP3, CPEB4, C16orf70, ERO1A, GNG3, INSR, TUBB3, RAC1, NCDN, SUMO1, ZFYVE27, NLGN1, NCS1, TRAK2, HOMER2, ENO2, SEZ6L, MAPT, ATP13A2, GOT2, SLC24A1, SLC1A3, ADCY8, HCFC1, FZD3, CCK, PENK, NDEL1, TIAM2, CNKSR2, DNM1, FYN, EEF2K, MAGI2, GNB1, CNTNAP2, GNAS, SYT7, SCN1A, ARG1, MAP2, PHAX, CDKL5, ARHGAP32, RUFY3, FEZ1, AKAP5, ABI2, VIP, NSG1, SYNPO, CHRM3, PRSS12, SLC38A7, TTLL7, CHRM1, CRTC1, MAPK10, MINK1, RPH3A, GDPD5, PPP1CC, RIT2, SLC6A6, FLOT2, ERCC8, PPT1, PYCARD, DHX36, PLXDC1, CPNE5, SNCB, WDFY3, PPP2R1A, KIF1A, MLPH, PI4K2A, CAMK2N1, PSEN2, SRCIN1, LRRC4, ADA, SNPH, TENM2, MAGOHB, OPRM1, PRNP, TRPM4, AKAP9, PIAS3, MARK1, CASC3, SYNDIG1, CNIH2, PRKACA, GRM3, SHANK3, ADAM10, TRIM9, PCSK2, APOD, CALB2, PAK1, ARF4, HTR1F, SIAH2, ZWINT, KLHL20, PPP3CA, MYO5A, GNAI2, NFASC, ATP2B1, CNN3, NEDD4, MBP, CLSTN3, USH2A, MARK4, PICALM, HTR2B, PSD, WFS1, MAPK8IP1, SLC6A1, KCNA1, ELFN1, PTPRF, FARP1, MAP2K4, BMPR2, GRM1, DSCAM, PTCH1, DICER1, ADGRB1, LZTS1, P2RX7, CX3CL1, TTBK1, SORT1, TRIM3, DBN1, CACNA1C, ZNF804A, TPGS1, SLC38A1, CTNND1, GRIA2, FRMPD4, GRIK3, HCN3, SLC1A1, SERPINI1, SPTBN4, GRM2, CACNG2, RPL28, PALMD, CACNA1B, ALS2, PSMC2, PPP1CA, EPHA4, ENDOG, CLU, ADORA1, LRP2, RBM8A, RBFOX3, S100B, PAM, GNG13, SORCS2, PPP1R9A, BRINP1, NOS1, ACAD9, SLC38A2, SLC4A10, CTTNBP2, TRAPPC4, ITGA1, BCR, OPRD1, PDE1A"
GO_SYNAPSE,1e-10,1.84275e-7,NA,-0.38853785754385645,-1.8635402828753966,1185,"PHACTR1, WASF1, SNAP47, MAP1B, ACTB, RPS20, RABAC1, RPS7, SPTBN1, PTPRD, NPTXR, CDK5R1, OLFM1, SYT4, ATP1A1, MT-ND2, RPL23, SPARCL1, CLTB, TNR, CALM3, GPM6A, PTPRZ1, NEURL1, PTN, SHANK1, GPHN, PDE2A, ASIC2, VPS35, USP14, SCN2A, CAMK2A, ATP1A3, KIF5A, MAP1A, ROR1, RPS18, GRIN2A, GUCY1B1, CLSTN1, VTI1B, ERBB4, ADGRL1, RPL8, PFN2, MOB4, RIMS1, SYT11, PTPRN, ATP1A2, LY6H, SYNE1, BACE1, EEF1A2, SH3GL2, NRGN, GABBR1, MT3, NRXN1, STX1A, DLG4, PLCB4, GAP43, RAB3C, GRM7, SNTB1, PALM, PPP2CA, DAGLA, LAMP1, RAB11B, SYAP1, SLC17A7, LRP4, ATAD1, PKP4, KCNQ3, FAIM2, APBA2, DLG3, RPL5, FXR1, CTNND2, PSEN1, DAB1, CACNB4, APBB1, LIN7A, RAB5A, PPP1R9B, PTK2, HNRNPD, FXYD6, NTRK2, MAP1LC3A, CTNNB1, HOMER1, RPS17, TTYH1, STRN4, CNIH3, SRI, CLSTN2, ARHGAP22, DSCAML1, CADPS2, TNIK, STX1B, PLAA, KIF1B, SLITRK5, TMOD2, CPEB4, C16orf70, SVOP, GNG3, C1QA, RAC1, CADM1, WASF2, LRRC4C, ERC1, RPL12, ATP6AP2, NCDN, SUMO1, NLGN1, NCS1, SNTA1, HOMER2, ITGA2, PCLO, YWHAG, CACNG5, EPB41, NRXN2, CYFIP2, SYP, MAPT, MYO7A, TUBA1A, RPL18A, RAB3A, DCLK1, LRFN5, SLC1A3, PJA2, SYT6, ADCY8, GPC6, SEC22B, IQSEC3, CLCN4, FZD3, ATP2B4, GOT1, SLC1A2, CCK, PENK, NDEL1, SYNJ2BP, FRRS1L, TIAM2, CACNG8, CAMK4, CNKSR2, DNM1, FYN, ATP2B2, EEF2K, GNA11, MAGI2, GNB1, MYH9, SYT7, NMNAT2, MAP2, CSPG5, CDKL5, SPOCK1, ARHGAP32, CACNB2, ADARB1, KCTD16, BAALC, ADGRL3, AKAP5, SCAMP1, ABI2, NSG1, SYNPO, DYNLL2, CHRM3, CNTN1, PRSS12, TSC1, GAK, EPB41L3, PDZD11, NRG3, CHRM1, CRTC1, MAPK10, DMD, MINK1, RPH3A, PPP1CC, CPEB2, RIMS2, DLGAP3, GABBR2, RIT2, CTBP2, SLC6A17, CAP2, SDK2, FLOT2, APC2, PPT1, ENAH, ATP2B3, SNCB, LRRTM4, RNF19A, PPP2R1A, HIP1, KIF1A, MIB1, PI4K2A, KCNJ9, LRFN2, BORCS5, DGKZ, CAMK2N1, PSEN2, GABRG2, ATP1B2, SRCIN1, LRRC4, TMED9, SNPH, TENM2, AP3D1, OPRM1, PRNP, AKAP9, PIAS3, UNC13A, PIN1, SYN3, SLC29A1, SYNDIG1, GRIN2B, ERC2, CNIH2, CTNNA2, PTPRN2, PRKACA, WDR7, PAK5, CADM3, GRM3, SHANK3, ADAM10, TRIM9, WASF3, VWC2, RUSC1, AAK1, VCP, ZNRF1, CALB2, AGRN, RPS6KB1, ARF4, GRIN2D, DCC, HTR1F, EFNA5, UNC13C, CLCN5, PCDH15, PPP3CA, MYO5A, HRAS, ASCC1, GNAI2, ATP2B1, C1QB, HNRNPH2, SNAP29, PLD2, STX7, CNN3, ADD1, TMEM230, NEDD4, EFNB2, ABHD6, MBP, KCMF1, CLSTN3, ARFGAP1, RNF40, SIGMAR1, USH2A, PFN1, PICALM, HTR2B, PSD, WFS1, STON1, NUFIP1, PIP5K1C, NLGN3, MAPK8IP1, SLC6A1, DLGAP4, SNAP91, KCNA1, ELFN1, KCNK9, FARP1, STXBP1, BMPR2, GRM1, DSCAM, EIF2S1, PTCH1, RAB5B, GUCY1A1, ADGRB1, LZTS1, P2RX7, AKT1, SORCS3, AMPH, DBN1, ANXA1, SSH1, CACNA1C, ZNF804A, GRIK4, TPGS1, CTNND1, LAMP5, DLG5, STX16, EXOC3, SHISA9, ACTG1, APBB2, KCNMB4, DMTN, GRIA2, FRMPD4, GRIK3, SH3GL3, KPTN, RAB10, HCN3, NRG1, SLC1A1, ARL8A, GRM2, CACNG2, TPPP, PALMD, CACNA1B, EIF4EBP1, ALS2, ZDHHC17, PSMC2, SYT2, PPP1CA"
GO_PRESYNAPSE,1e-10,1.84275e-7,NA,-0.4168044251237588,-1.8747890210771885,463,"SNAP47, ACTB, RABAC1, CDK5R1, SYT4, CLTB, CALM3, GPM6A, PTN, PDE2A, VPS35, SCN2A, ROR1, GRIN2A, GUCY1B1, VTI1B, ERBB4, ADGRL1, PFN2, RIMS1, SYT11, PTPRN, BACE1, SH3GL2, GABBR1, MT3, NRXN1, STX1A, DLG4, RAB3C, GRM7, LAMP1, RAB11B, SYAP1, SLC17A7, APBA2, FXR1, PSEN1, APBB1, LIN7A, RAB5A, FXYD6, NTRK2, CTNNB1, SRI, CADPS2, TNIK, STX1B, KIF1B, C16orf70, SVOP, ERC1, NLGN1, NCS1, ITGA2, PCLO, YWHAG, NRXN2, SYP, RAB3A, SYT6, ADCY8, SEC22B, CLCN4, FZD3, ATP2B4, GOT1, SLC1A2, CCK, PENK, NDEL1, DNM1, ATP2B2, SYT7, CACNB2, KCTD16, SCAMP1, CHRM3, CNTN1, PRSS12, GAK, PDZD11, CHRM1, RPH3A, PPP1CC, RIMS2, CTBP2, SLC6A17, FLOT2, PPT1, ATP2B3, SNCB, HIP1, KIF1A, PI4K2A, KCNJ9, BORCS5, PSEN2, SRCIN1, TMED9, SNPH, AP3D1, OPRM1, PRNP, UNC13A, SYN3, SLC29A1, SYNDIG1, ERC2, CTNNA2, PTPRN2, WDR7, CADM3, GRM3, ADAM10, TRIM9, AAK1, ZNRF1, CALB2, UNC13C, CLCN5, ATP2B1, SNAP29, PLD2, STX7, TMEM230, EFNB2, RNF40, USH2A, PICALM, WFS1, STON1, NUFIP1, PIP5K1C, NLGN3, SLC6A1, SNAP91, KCNA1, KCNK9, STXBP1, RAB5B, P2RX7, AMPH, ZNF804A, GRIK4, CTNND1, LAMP5, STX16, EXOC3, ACTG1, GRIK3, SH3GL3, RAB10, HCN3, SLC1A1, GRM2, CACNA1B, ZDHHC17, SYT2, PPP1CA, STXBP5, EPHA4, ADORA1, LIN7C, LIN7B, CBARP, NOS1, SYN2, SLC4A10, CTTNBP2, PRKCB, TRAPPC4, OPRD1"
GO_POSTSYNAPSE,1e-10,1.84275e-7,NA,-0.42444586056856753,-1.9426808920462943,584,"WASF1, SNAP47, MAP1B, ACTB, SPTBN1, CDK5R1, ATP1A1, MT-ND2, RPL23, CLTB, GPM6A, NEURL1, PTN, SHANK1, GPHN, ASIC2, VPS35, CAMK2A, RPS18, GRIN2A, CLSTN1, ERBB4, ADGRL1, RPL8, PFN2, MOB4, SYT11, ATP1A2, SYNE1, NRGN, GABBR1, MT3, STX1A, DLG4, PLCB4, GAP43, GRM7, PALM, DAGLA, SYAP1, SLC17A7, LRP4, ATAD1, PKP4, FAIM2, APBA2, DLG3, FXR1, CTNND2, DAB1, APBB1, LIN7A, RAB5A, PPP1R9B, PTK2, FXYD6, NTRK2, CTNNB1, HOMER1, STRN4, CNIH3, SRI, CLSTN2, CADPS2, TNIK, CPEB4, GNG3, C1QA, RAC1, LRRC4C, RPL12, ATP6AP2, NCDN, NLGN1, NCS1, HOMER2, PCLO, CACNG5, EPB41, MAPT, RPL18A, DCLK1, LRFN5, PJA2, ADCY8, IQSEC3, SYNJ2BP, CACNG8, CAMK4, CNKSR2, DNM1, FYN, ATP2B2, EEF2K, MAGI2, MAP2, CSPG5, CDKL5, SPOCK1, ARHGAP32, KCTD16, BAALC, AKAP5, ABI2, NSG1, SYNPO, DYNLL2, CHRM3, CNTN1, TSC1, EPB41L3, CHRM1, CRTC1, DMD, MINK1, RPH3A, PPP1CC, DLGAP3, GABBR2, SLC6A17, CAP2, APC2, LRRTM4, RNF19A, HIP1, KIF1A, MIB1, LRFN2, DGKZ, CAMK2N1, GABRG2, SRCIN1, LRRC4, TENM2, AP3D1, OPRM1, PRNP, AKAP9, PIN1, SYN3, SLC29A1, SYNDIG1, GRIN2B, CNIH2, CTNNA2, PRKACA, GRM3, SHANK3, ADAM10, WASF3, RUSC1, ARF4, GRIN2D, DCC, PPP3CA, MYO5A, C1QB, HNRNPH2, CNN3, ADD1, NEDD4, EFNB2, ABHD6, CLSTN3, ARFGAP1, SIGMAR1, PICALM, PSD, NLGN3, SLC6A1, DLGAP4, KCNA1, FARP1, STXBP1, BMPR2, GRM1, PTCH1, ADGRB1, LZTS1, P2RX7, AKT1, SORCS3, DBN1, CACNA1C, ZNF804A, GRIK4, CTNND1, DLG5, SHISA9, DMTN, GRIA2, FRMPD4, GRIK3, SH3GL3, KPTN, SLC1A1, GRM2, CACNG2, TPPP, PALMD, EIF4EBP1, ALS2, PSMC2, PPP1CA, EPHA4, NCK2, RPL14, ADORA1, LIN7C, RPS14, SLITRK3, LIN7B, SORCS2, PPP1R9A, NOS1, SYN2, SLC4A10, CTTNBP2, BCR, OPRD1"
GO_DENDRITIC_TREE,1e-10,1.84275e-7,NA,-0.4269425436727025,-1.9460143808568382,552,"HSP90AB1, WASF1, SNAP47, MAP1B, HSP90AA1, UBXN1, CDK5R1, SYT4, MT-ND1, CKB, BRINP3, ELOVL5, GPM6A, NEURL1, SHANK1, GPHN, ASIC2, CAMK2A, KIF5A, MAP1A, GRIN2A, GNAO1, CLSTN1, MOB4, SYT11, ATP1A2, BACE1, SH3GL2, NRGN, GABBR1, MT3, NSG2, DLG4, PLCB4, GAP43, GRM7, COBL, LAMP1, SYAP1, LRP4, MARK3, APBA2, SAV1, DLG3, FXR1, CTNND2, PSEN1, DNER, DAB2IP, APBB1, RAB5A, PPP1R9B, PTK2, NTRK2, HOMER1, STRN4, CNIH3, SRI, CLSTN2, NGDN, KIF1B, PPP5C, NIN, MAPK8IP3, CPEB4, C16orf70, ERO1A, GNG3, TUBB3, RAC1, NCDN, SUMO1, ZFYVE27, NLGN1, NCS1, TRAK2, HOMER2, MAPT, ADCY8, HCFC1, FZD3, CCK, PENK, DNM1, FYN, EEF2K, MAGI2, GNB1, CNTNAP2, GNAS, SYT7, MAP2, CDKL5, ARHGAP32, RUFY3, FEZ1, AKAP5, ABI2, NSG1, SYNPO, CHRM3, PRSS12, TTLL7, CHRM1, CRTC1, MINK1, RPH3A, PPP1CC, RIT2, SLC6A6, FLOT2, PPT1, DHX36, PLXDC1, PPP2R1A, KIF1A, MLPH, PI4K2A, CAMK2N1, PSEN2, SRCIN1, LRRC4, ADA, TENM2, OPRM1, PRNP, AKAP9, PIAS3, MARK1, CASC3, SYNDIG1, CNIH2, PRKACA, GRM3, SHANK3, ADAM10, TRIM9, PCSK2, APOD, CALB2, PAK1, ARF4, HTR1F, ZWINT, KLHL20, PPP3CA, GNAI2, NFASC, CNN3, NEDD4, CLSTN3, MARK4, HTR2B, PSD, WFS1, MAPK8IP1, KCNA1, ELFN1, FARP1, MAP2K4, BMPR2, GRM1, DSCAM, PTCH1, DICER1, ADGRB1, LZTS1, SORT1, TRIM3, DBN1, CACNA1C, ZNF804A, TPGS1, CTNND1, GRIA2, FRMPD4, GRIK3, HCN3, SLC1A1, GRM2, RPL28, PALMD, CACNA1B, ALS2, PSMC2, PPP1CA, EPHA4, CLU, ADORA1, LRP2, RBM8A, GNG13, SORCS2, PPP1R9A, BRINP1, NOS1, ACAD9, SLC38A2, SLC4A10, CTTNBP2, TRAPPC4, BCR, OPRD1"
GO_NEURON_TO_NEURON_SYNAPSE,1e-10,1.84275e-7,NA,-0.48984901356117705,-2.151034947937526,345,"SNAP47, MAP1B, SPTBN1, CDK5R1, ATP1A1, MT-ND2, RPL23, NEURL1, SHANK1, GPHN, VPS35, CAMK2A, ATP1A3, RPS18, GRIN2A, CLSTN1, ERBB4, ADGRL1, RPL8, SYT11, BACE1, SH3GL2, NRGN, MT3, STX1A, DLG4, PLCB4, GAP43, GRM7, PALM, DAGLA, LRP4, PKP4, DLG3, FXR1, CTNND2, DAB1, LIN7A, PPP1R9B, NTRK2, CTNNB1, HOMER1, CLSTN2, TNIK, CPEB4, GNG3, LRRC4C, RPL12, NLGN1, NCS1, HOMER2, PCLO, CACNG5, EPB41, RPL18A, DCLK1, LRFN5, PJA2, ADCY8, IQSEC3, PENK, SYNJ2BP, CACNG8, CNKSR2, DNM1, FYN, ATP2B2, EEF2K, MAGI2, SYT7, MAP2, CDKL5, SPOCK1, ARHGAP32, BAALC, AKAP5, SYNPO, DYNLL2, CHRM3, TSC1, EPB41L3, CHRM1, CRTC1, MINK1, DLGAP3, CAP2, RNF19A, MIB1, LRFN2, DGKZ, CAMK2N1, ATP1B2, SRCIN1, LRRC4, PRNP, AKAP9, SYN3, SYNDIG1, GRIN2B, CNIH2, CTNNA2, GRM3, SHANK3, ADAM10, RUSC1, GRIN2D, DCC, HNRNPH2, CNN3, ADD1, EFNB2, CLSTN3, ARFGAP1, SIGMAR1, PSD, NLGN3, BMPR2, GRM1, PTCH1, ADGRB1, LZTS1, SORCS3, DBN1, CACNA1C, GRIK4, CTNND1, DLG5, SHISA9, DMTN, GRIA2, FRMPD4, SH3GL3, SLC1A1, CACNG2, ALS2, EPHA4, NCK2, RPL14, ADORA1, LIN7C, RPS14, SLITRK3, LIN7B, SORCS2, PPP1R9A, NOS1, SYN2"
GO_SYNAPSE_ORGANIZATION,1.744575149558851e-10,2.8576140949773976e-7,0.826657301178302,-0.43216356536500794,-1.9143096832158,374,"WASF1, MAP1B, ACTB, PTPRD, CDK5R1, SPARCL1, TNR, GPM6A, NEURL1, PTN, SPOCK2, SHANK1, GPHN, ASIC2, VPS35, LINGO2, CLSTN1, ERBB4, ADGRL1, PFN2, IGF1R, NRXN1, DLG4, GAP43, PALM, LRP4, TUBB, DLG3, CTNND2, PSEN1, DNER, CACNB4, DAB2IP, PTK2, KALRN, NTRK2, CTNNB1, HOMER1, CLSTN2, ARHGAP22, SLITRK5, CHCHD10, C1QA, INSR, WASF2, LRRC4C, NLGN1, SEZ6L, PCLO, NRXN2, MAPT, RYK, TUBA1A, AFG3L2, RAB3A, LRFN5, GPC6, ADGRB2, CNKSR2, FYN, EEF2K, MAGI2, CDKL5, CACNB2, COL4A1, ADGRL3, ABI2, SYNPO, TSC1, RER1, DLGAP3, CTBP2, SDK2, C5AR1, DHX36, SNCB, KIF1A, LRFN2, GABRG2, SRCIN1, LRRC4, PRNP, UNC13A, PIN1, SYNDIG1, ROBO2, GRIN2B, ERC2, CTNNA2, SHANK3, ADAM10, WASF3, REST, VCP, AGRN, ARF4, EFNA5, UNC13C, MYO5A, NFASC, C1QB, NEDD4, EFNB2, CLSTN3, PFN1, NLGN3, SLC6A1, ELFN1, PTPRF, FARP1, DSCAM, ADGRB1, SEMA4A, CX3CL1, DBN1, SSH1, ZNF804A"
GO_AXON,2.613410653464014e-10,3.85268998533665e-7,0.8140358378479079,-0.38412627260896115,-1.7565190145450869,575,"HSP90AB1, MAP1B, ACTB, HSP90AA1, SPTBN1, CDK5R1, OLFM1, SYT4, BSG, CALM3, GPM6A, SCN2A, ATP1A3, NCAM2, KIF5A, MAP1A, ROR1, ADGRL1, LMTK2, SYT11, PTPRN, BACE1, NRSN1, NRGN, IGF1R, MT3, STX1A, DLG4, GAP43, GRM7, PALM, COBL, DAGLA, SYAP1, SLC17A7, KCNQ3, KLC1, DLG3, FXR1, PSEN1, DAB2IP, APBB1, RAB5A, PPP1R9B, NTRK2, HOMER1, SRI, NGDN, DSCAML1, STX1B, KIF1B, NIN, MAPK8IP3, TMOD2, CPEB4, DST, INSR, TUBB3, AP3M1, ATP6AP2, ZFYVE27, NCS1, IQCJ-SCHIP1, TRAK2, ITGA2, PCLO, SYP, MAPT, SCN8A, ACTR10, NEXN, RAB3A, BLOC1S2, ADCY8, HCFC1, DCTN2, FZD3, CRTAC1, GOT1, SLC1A2, CCK, PENK, NDEL1, TIAM2, DNM1, CNTNAP2, SYT7, DYNC1H1, SCN1A, EXOC6, NMNAT2, MAP2, CDKL5, SPOCK1, RUFY3, EEA1, FEZ1, ADGRL3, AGBL4, DOCK7, CHRM3, PRSS12, TSC1, SLC38A7, EPB41L3, CHRM1, EXOC7, MINK1, GDPD5, PPT1, IGHMBP2, ATL1, HEPACAM, DHX36, FEZ2, SNCB, WDFY3, KIF3A, RASGRF1, KIF1A, ULK1, PSEN2, GABRG2, SRCIN1, TENM2, AP3D1, OPRM1, PRNP, UNC13A, MAP9, ROBO2, ERC2, CTNNA2, PTPRN2, GRM3, ADAM10, CYTH2, AAK1, CALB2, PAK1, DCC, UNC13C, KLHL20, MYO5A, NFASC, MAP7, AP3S1, MBP, RNF40, SIGMAR1, USH2A, ACADM, KIF20B, MAPK8IP1, SLC6A1, KCNA1, MAP2K4, STXBP1, DSCAM, TRPV4, PTCH1, DICER1, DBN1, NDRG2, SSH1, ZNF804A, TPGS1, CTNND1, LAMP5, EXOC3, ACTG1, APBB2, GRIK3, HCN3, NRG1, SLC1A1, SPTBN4, ARL8A, GRM2, CACNG2"
