pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,1e-10,3.6105813671264296e-8,NA,0.5575144678562565,2.5027106970688857,386,"CTSH, APOE, HSPG2, VTN, FN1, BGN, CLEC14A, ANXA5, BMP7, AGT, ADAMTS15, SERPINF1, EGFLAM, COL4A6, COL4A1, SCARA3, PTN, IGFBP7, ACAN, MMP2, FREM2, LTBP1, ICAM1, COL18A1, NTN1, LAMB2, THBS2, SERPING1, ANGPT2, RARRES2, SPARC, ITIH5, SERPINH1, VWA1, LAMA1, ANXA2, ECM2, MDK, MYOC, COL5A2, EFEMP1, C1QB, MATN4, ANXA1, CSPG4, NID1, ITGA6, LAMA4, CALR, FIBCD1, ECM1, HAPLN1, CTHRC1, ELN, MFGE8, CBLN4, VWF, C1QA, F3, LAMA2, LTBP3, COL4A2, CLU, PTPRZ1, PRELP, NTN4, HMCN1, PCOLCE, ANGPTL4, TNC, NDP, TIMP3, TGFBI, LAMA3, COL26A1, DCN, LAMC1, AEBP1, SPARCL1, COL27A1, TGFB2, FBLN2, SERPINA3, C1QC, ASPN, TGM2, FMOD, ADAMTS9, SDC2, VCAN, COL11A2, CTSZ, S100A6, CST3, LAMC3, GDF10, ADAMTS20, ENTPD2, WNT5B, SMOC1, TGFB1, COCH, GPC2, NID2, EFEMP2, F13A1, AGRN, ERBIN, LAD1, SOD3, COL4A4, ITIH2, P3H2, LTBP2, ANGPT1, SERPINC1, COL9A1, COL4A5, COL9A2, PLOD3, PCSK6, EMILIN1, SERPINE2, HTRA1, LTBP4, OGN, SSC5D, ADAMTS5, COL15A1, SERPINB6, LMAN1, SFRP1, HSP90B1, CTSS, MMRN2, LEFTY2, FGF9, NPNT, CTSC, FRAS1, LGALS3BP, COL11A1, HNRNPM, FBLN5, ANXA11, MGP, GPC5, DST, FGFR2, CTSD, ABI3BP, ANG, CFP, SBSPON, ANGPTL1, MMRN1, THBS1"
GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,1e-10,3.6105813671264296e-8,NA,0.5915297873793932,2.388692970109845,145,"HSPG2, VTN, FN1, BGN, COL4A6, COL4A1, IGFBP7, ACAN, LTBP1, COL18A1, LAMB2, THBS2, SPARC, VWA1, LAMA1, COL5A2, EFEMP1, NID1, LAMA4, ECM1, HAPLN1, CTHRC1, ELN, MFGE8, VWF, LAMA2, COL4A2, PRELP, HMCN1, PCOLCE, TNC, TGFBI, LAMA3, DCN, LAMC1, AEBP1, COL27A1, FBLN2, ASPN, FMOD, VCAN, COL11A2, NID2, EFEMP2, AGRN, COL4A4, LTBP2, COL9A1, COL4A5, COL9A2, EMILIN1, LTBP4, OGN, COL15A1, MMRN2, NPNT, FRAS1, COL11A1, FBLN5, ZPLD1, MGP, ABI3BP, SBSPON, MMRN1, THBS1"
GO_EXTRACELLULAR_MATRIX,1e-10,3.6105813671264296e-8,NA,0.5057096689684081,2.328268104802735,506,"CTSH, APOE, HSPG2, RELN, VTN, FN1, BGN, CLEC14A, ANXA5, BMP7, AGT, ADAMTS15, SERPINF1, EGFLAM, COL4A6, COL4A1, SCARA3, PTN, IGFBP7, ACAN, MMP2, FREM2, LTBP1, ICAM1, COL18A1, CRISPLD2, NTN1, LAMB2, THBS2, SERPING1, ANGPT2, RARRES2, SPARC, ITIH5, SERPINH1, MMP25, VWA1, LAMA1, ANXA2, ECM2, MDK, MYOC, COL5A2, EFEMP1, C1QB, MATN4, TLR3, ANXA1, CSPG4, NID1, ITGA6, FGF1, LAMA4, BCAN, CALR, FIBCD1, ECM1, HAPLN1, CTHRC1, ELN, MFGE8, CBLN4, VWF, C1QA, F3, ALPL, LAMA2, LTBP3, COL4A2, CLU, PTPRZ1, PRELP, NTN4, HMCN1, PCOLCE, ANGPTL4, TNC, NDP, MMP15, TIMP3, TGFBI, LAMA3, COL26A1, CD248, DCN, LAMC1, AEBP1, SPARCL1, COL27A1, TGFB2, FBLN2, LRIG1, SERPINA3, C1QC, ASPN, MMP14, TGM2, FMOD, ADAMTS9, SDC2, GPLD1, VCAN, COL11A2, CTSZ, S100A6, WNT6, CST3, LAMC3, GDF10, ADAMTS20, ENTPD2, WNT5B, SMOC1, OLFML2A, TGFB1, COCH, COLEC12, FLRT3, DMP1, WNT7A, GPC2, NID2, BMPER, EFEMP2, F13A1, AGRN, ERBIN, LAD1, SOD3, COL4A4, ITIH2, P3H2, LTBP2, ANGPT1, CD180, SERPINC1, COL9A1, COL4A5, COL9A2, PLOD3, PCSK6, EMILIN1, SERPINE2, TIMP4, HTRA1, LTBP4, OGN, LOX, SSC5D, LRRC17, MMP19, ADAMTS5, COL15A1, SERPINB6, HPSE, LMAN1, SFRP1, HSP90B1, CTSS, MMRN2, LEFTY2, FGF9, NPNT, CTSC, FRAS1, LGALS3BP, COL11A1, HNRNPM, FBLN5, ANXA11, MGP, TRIL, GPC5, DST, NCAN, FGFR2, CTSD, ABI3BP, ADAMTSL2, ANG, CFP, SBSPON, ANGPTL1, MMRN1, THBS1, LRRTM4, CD151"
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,1e-10,3.6105813671264296e-8,NA,0.5142570319386492,2.2970188841539825,365,"POMT1, HSPG2, VTN, KDR, FN1, BGN, NOTCH1, AGT, ADAMTS15, EGFLAM, PDPN, COL4A6, COL4A1, LRP1, ACAN, MMP2, TNFRSF1A, ICAM1, LCP1, ITGB2, COL18A1, CRISPLD2, LAMB2, CAV1, ANTXR1, ENG, SPARC, ITGA1, SERPINH1, MMP25, VWA1, LAMA1, ANXA2, MYH11, PECAM1, ITGAM, ECM2, COL5A2, ITGB1, MATN4, PHLDB2, NID1, ITGA6, LAMA4, BCAN, ETS1, HAPLN1, ELN, VWF, FOXC1, LAMA2, LTBP3, COL4A2, SPP1, ITGAV, JAM2, NTN4, ITGB5, TNC, MMP15, TLL1, TGFBI, LAMA3, DCN, LAMC1, SLC39A8, AEBP1, ICAM2, COL27A1, TGFB2, GAS2, FBLN2, CDH1, MMP14, FMOD, ADAMTS9, B4GALT1, PDGFRA, VCAN, COL11A2, TNFRSF1B, ITGA7, NFKB2, BMP1, CST3, FOXF2, LAMC3, ADAMTS20, BSG, ITGA3, DDR2, SMOC1, CAPN2, OLFML2A, CYP1B1, TGFB1, DMP1, NID2, EFEMP2, RGCC, AGRN, CRTAP, MPV17, VCAM1, FGF2, COL4A4, COL9A1, COL4A5, COL9A2, PLOD3, ITGA4, TTR, EMILIN1, HTRA1, NPHS1, LOX, SOX9, MMP19, LOXL3, ADAMTS5, COL15A1, CTSS, FURIN, NPNT, DPP4, P3H4, CREB3L1, COL11A1, RB1"
GO_BASEMENT_MEMBRANE,1e-10,3.6105813671264296e-8,NA,0.6107877555618226,2.2957106561648883,97,"HSPG2, VTN, FN1, SERPINF1, EGFLAM, COL4A6, COL4A1, PTN, ACAN, FREM2, COL18A1, NTN1, LAMB2, THBS2, SPARC, VWA1, LAMA1, ANXA2, NID1, ITGA6, LAMA4, LAMA2, COL4A2, NTN4, HMCN1, TNC, TIMP3, TGFBI, LAMA3, LAMC1, CST3, LAMC3, ENTPD2, SMOC1, NID2, EFEMP2, AGRN, ERBIN, LAD1, COL4A4, P3H2, COL9A1, COL4A5, COL15A1, MMRN2, FGF9, NPNT, FRAS1"
GO_INTEGRIN_BINDING,1e-10,3.6105813671264296e-8,NA,0.5635251558340011,2.2482239821048466,134,"VTN, KDR, FN1, IGF1, PTN, ICAM1, LCP1, ITGB2, LAMB2, ADAM17, LYN, ITGAM, ECM2, ITGB1, S1PR3, S1PR2, FGF1, IGF2, CALR, MFGE8, VWF, SPP1, PTPRZ1, ITGAV, CD9, JAM2, ITGB5, PLPP3, TGFBI, LAMA3, ICAM2, PRKCA, EMP2, MMP14, ITGB1BP1, ITGA3, DMP1, LGALS8, VCAM1, FGF2, ITGA4, FERMT2, EMILIN1, LTBP4, LGALS12, ADAMTS5, NPNT, FBLN5, ITGB8, F11R, ADAM9, DST, THBS1, CD151, FERMT3, ISG15, PXN"
GO_BLOOD_VESSEL_MORPHOGENESIS,1e-10,3.6105813671264296e-8,NA,0.4510817081823825,2.0934804024508766,564,"CTSH, APOE, HLA-G, HSPG2, KDR, FN1, CLEC14A, NOTCH1, AGT, SERPINF1, CLDN5, COL4A1, LRP1, PTN, AMOT, MMP2, ADGRA2, TEK, HPGD, NOTCH2, PDGFRB, HEY2, RAPGEF3, ITGB2, ALOX5, COL18A1, IL18, S100A1, TMEM100, THBS2, CAV1, ANGPT2, ENG, SPARC, SETD2, PRRX1, ENPEP, RHOJ, PDE3B, EPAS1, LAMA1, FMNL3, ANXA2, E2F8, LRP5, LRP5L, CEACAM1, ANXA3, PECAM1, NR2F2, PLXND1, GLUL, TIE1, MDK, ITGB1, RNF213, TLR3, ID1, ANXA1, CSPG4, S1PR1, LEF1, FGF1, ECM1, ETS1, MFGE8, ROBO4, F3, ERBB2, FOXC1, NFE2L2, EPHB4, SAT1, COL4A2, MYLK, TEAD2, SCG2, TAL1, ITGAV, TNFSF12, ANGPTL4, RSPO3, ROCK1, TGFBI, STARD13, SPHK1, DCN, SASH1, PRCP, PRKCA, PAK4, ELK3, CDH5, TGFB2, RRAS, NPRL3, ACVRL1, FOXO4, APOD, VAV3, SP1, SMO, SOX18, EMP2, CELA1, MMP14, ADAMTS9, FLT1, GPLD1, HEG1, B4GALT1, PDGFRA, MAPK7, CIB1, ADGRF5, ADGRG1, FGFBP1, ITGB1BP1, EDN1, EDNRA, STRA6, ECSCR, YAP1, TBX2, THSD7A, AQP1, ENPP2, CYP1B1, TGFB1, APLN, AMOTL2, HES1, CALCRL, WNT7A, TJP1, TGFBR2, SOX17, CX3CR1, BMPER, GJC1, RGCC, PTGS2, CHD7, FGF2, ANGPT1, PKNOX1, CUL7, HSPB1, ANPEP, NOTCH3, CLIC4, EMILIN1, SGPL1, LOX, MMP19, C1GALT1, COL15A1, HPSE, SFRP1, DLL4, IL12A, MMRN2, APOLD1, FGF9, PDCD10, PKD2, CXCR4, CREB3L1, RASA1, BRCA1, RASIP1, JAG1, C3AR1, FBLN5, ERAP1, APLNR, NR2E1, JMJD8, ITGB8, MEIS1, FLT4, RAMP1, PTPRB, NOS3, RAMP2, BMPR1A, NOG, SOX4, PTGIS, CARD10, MTDH, FGFR2"
GO_ENDOPLASMIC_RETICULUM_LUMEN,1e-10,3.6105813671264296e-8,NA,0.47854603796061446,2.075762702282794,279,"APOE, FMO1, VTN, B2M, FN1, RNASET2, COL4A6, COL4A1, DBI, IGFBP7, LTBP1, PENK, GPX8, COL18A1, LAMB2, CHRDL1, SERPINH1, FKBP7, VWA1, IGFBP5, RCN1, COL5A2, CALR, GBF1, EOGT, MFGE8, COL4A2, SPP1, CLU, SCG2, CP, TNC, RCN3, COL26A1, GOLM1, LAMC1, SPARCL1, COL27A1, SHISA5, STC2, NUCB1, SDC2, VCAN, COL11A2, CTSZ, C4A, WNT6, CST3, WFS1, EDN1, WNT5B, CASQ2, MXRA8, DMP1, WNT7A, GPX7, CRTAP, PTGS2, TXNDC12, CANX, COL4A4, ITIH2, P3H2, SERPINC1, RDH5, COL9A1, COL4A5, COL9A2, TOR3A, PLOD3, PNPLA2, RCN2, SERPIND1, OS9, SLC27A2, ALG12, ADAMTS5, COL15A1, PROZ, HSP90B1, IL12A, CTSC, COL11A1, MTTP, ERAP1, TSPAN14, TOR4A, JMJD8, DNAJB11, PPIB, PDIA6, ERP29, ARSA, CFP"
GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,1e-10,3.6105813671264296e-8,NA,0.46175670008707026,2.039210187146923,324,"HLA-E, HLA-F, HLA-G, B2M, CLEC14A, ANXA5, MICA, MICB, ABCB1, FCGRT, AMOT, CLEC2D, ICAM1, FCER1G, ITGB2, ANTXR1, ENG, ITGA1, CD302, ENPEP, CEACAM5, ANTXR2, PECAM1, ITGAM, OSMR, ITGB1, MR1, ANXA1, S1PR1, ITGA6, CALR, PRND, MFGE8, F3, IL2RG, ITGAV, CD9, AQP4, FCGR2B, CD248, CDH5, ATP1B2, FAS, TFRC, CD33, ADGRE1, IL13RA1, P2RX7, HEG1, B4GALT1, PDGFRA, CD14, LIFR, CD200R1, CD200R1L, ITGA3, CD36, CAPN2, CUBN, IL13RA2, TMEM123, TGFBR2, CX3CR1, ABCA1, VCAM1, GFRA1, P2RY12, CNTFR, THBD"
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_VIA_ER_PATHWAY,1e-10,3.6105813671264296e-8,NA,0.9952471194007478,2.03005185772706,7,"HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G"
